match_num,round_num,team_home,team_away,week_day,time,stadium,referee_name
161,17,Botafogo - RJ,Chapecoense - SC,Sábado,18:30,Maracanã - Rio de Janeiro - RJ,anderson_daronco
162,17,Fluminense - RJ,Sport - PE,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,andre_luiz_de_freitas_castro
163,17,São Paulo - SP,Santos - SP,Domingo,16:00,Morumbi - Sao Paulo - SP,vinicius_furlan
164,17,Palmeiras - SP,Coritiba - PR,Sábado,21:00,Pacaembu - Sao Paulo - SP,marcos_andre_gomes_da_penha
165,17,Atlético - PR,Bahia - BA,Domingo,18:30,Arena da Baixada - Curitiba - PR,sandro_meira_ricci
166,17,Atlético - MG,Internacional - RS,Sábado,18:30,Independência - Belo Horizonte - MG,luiz_flavio_de_oliveira
167,17,Vitória - BA,Figueirense - SC,Domingo,16:00,Manoel Barradas - Salvador - BA,marcelo_de_lima_henrique
168,17,Grêmio - RS,Corinthians - SP,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,heber_roberto_lopes
169,17,Criciuma - SC,Flamengo - RJ,Domingo,16:00,Heriberto Hulse - Criciuma - SC,leandro_pedro_vuaden
170,17,Goiás - GO,Cruzeiro - MG,Domingo,18:30,Serra Dourada - Goiania - GO,francisco_carlos_do_nascimento
171,18,Botafogo - RJ,Santos - SP,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,rodrigo_d_alonso_ferreira
172,18,Sport - PE,Criciuma - SC,Domingo,16:00,Ilha do Retiro - Recife - PE,luiz_flavio_de_oliveira
173,18,Corinthians - SP,Fluminense - RJ,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,paulo_h_godoy_bezerra
174,18,Palmeiras - SP,Internacional - RS,Sábado,18:30,Pacaembu - Sao Paulo - SP,ricardo_marques_ribeiro
175,18,Coritiba - PR,Atlético - MG,Domingo,16:00,Couto Pereira - Curitiba - PR,marcelo_de_lima_henrique
176,18,Cruzeiro - MG,Chapecoense - SC,Sábado,18:30,Mineirão - Belo Horizonte - MG,dewson_fernando_freitas_da_silva
177,18,Vitória - BA,Flamengo - RJ,Domingo,18:30,Manoel Barradas - Salvador - BA,anderson_daronco
178,18,Grêmio - RS,Bahia - BA,Domingo,18:30,Arena do Grêmio - Porto Alegre - RS,pericles_bassols_pegado_cortez
179,18,Figueirense - SC,São Paulo - SP,Domingo,16:00,Orlando Scarpelli - Florianopolis - SC,wilton_pereira_sampaio
180,18,Goiás - GO,Atlético - PR,Domingo,18:30,Serra Dourada - Goiania - GO,wagner_do_nascimento_magalhaes
181,19,Flamengo - RJ,Grêmio - RS,Sábado,18:30,Maracanã - Rio de Janeiro - RJ,andre_luiz_de_freitas_castro
182,19,Fluminense - RJ,Cruzeiro - MG,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,anderson_daronco
183,19,São Paulo - SP,Sport - PE,Domingo,16:00,Morumbi - Sao Paulo - SP,braulio_da_silva_machado
184,19,Santos - SP,Vitória - BA,Sábado,18:30,Pacaembu - Sao Paulo - SP,felipe_gomes_da_silva
185,19,Atlético - PR,Palmeiras - SP,Domingo,18:30,Arena da Baixada - Curitiba - PR,leandro_pedro_vuaden
186,19,Atlético - MG,Botafogo - RJ,Domingo,16:00,Independência - Belo Horizonte - MG,flavio_rodrigues_guerra
187,19,Bahia - BA,Coritiba - PR,Domingo,18:30,Fonte Nova - Salvador - BA,francisco_carlos_do_nascimento
188,19,Internacional - RS,Figueirense - SC,Domingo,18:30,Beira-Rio - Porto Alegre - RS,marcelo_aparecido_r_de_souza
189,19,Criciuma - SC,Corinthians - SP,Domingo,16:00,Heriberto Hulse - Criciuma - SC,igor_junio_benevenuto
190,19,Chapecoense - SC,Goiás - GO,Sábado,21:00,Arena Condá - Chapeco - SC,paulo_h_schleich_vollkopf
191,20,Botafogo - RJ,São Paulo - SP,Quarta,22:00,Mané Garrincha - Brasilia - DF,marielson_alves_silva
192,20,Sport - PE,Santos - SP,Quarta,21:00,Arena Pernambuco - Sao Lourenco da Mata - PE,grazianni_maciel_rocha
193,20,Corinthians - SP,Atlético - MG,Quinta,19:30,Arena Corinthians - Sao Paulo - SP,dewson_fernando_freitas_da_silva
194,20,Palmeiras - SP,Criciuma - SC,Quarta,19:30,Pacaembu - Sao Paulo - SP,cleisson_veloso_pereira
195,20,Coritiba - PR,Chapecoense - SC,Quarta,21:00,Couto Pereira - Curitiba - PR,devarly_lira_do_rosario
196,20,Cruzeiro - MG,Bahia - BA,Quinta,20:30,Mineirão - Belo Horizonte - MG,marcos_mateus_pereira
197,20,Vitória - BA,Internacional - RS,Quarta,22:00,Manoel Barradas - Salvador - BA,pericles_bassols_pegado_cortez
198,20,Grêmio - RS,Atlético - PR,Quarta,19:30,Arena do Grêmio - Porto Alegre - RS,marcelo_de_lima_henrique
199,20,Figueirense - SC,Fluminense - RJ,Quarta,19:30,Orlando Scarpelli - Florianopolis - SC,luiz_flavio_de_oliveira
200,20,Goiás - GO,Flamengo - RJ,Quarta,22:00,Arena Pantanal - Cuiaba - MT,ricardo_marques_ribeiro
201,21,Flamengo - RJ,Corinthians - SP,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,sandro_meira_ricci
202,21,Fluminense - RJ,Palmeiras - SP,Sábado,18:30,Maracanã - Rio de Janeiro - RJ,elmo_alves_resende_cunha
203,21,São Paulo - SP,Cruzeiro - MG,Domingo,16:00,Morumbi - Sao Paulo - SP,leandro_pedro_vuaden
204,21,Santos - SP,Coritiba - PR,Sábado,21:00,Vila Belmiro - Santos - SP,marcelo_de_lima_henrique
205,21,Atlético - PR,Vitória - BA,Domingo,18:30,Arena da Baixada - Curitiba - PR,pablo_dos_santos_alves
206,21,Atlético - MG,Grêmio - RS,Domingo,18:30,Independência - Belo Horizonte - MG,jailson_macedo_freitas
207,21,Bahia - BA,Figueirense - SC,Domingo,16:00,Jóia da Princesa - Feira de Santana - BA,gilberto_rodrigues_castro_junior
208,21,Internacional - RS,Botafogo - RJ,Domingo,16:00,Beira-Rio - Porto Alegre - RS,andre_luiz_de_freitas_castro
209,21,Criciuma - SC,Goiás - GO,Domingo,18:30,Heriberto Hulse - Criciuma - SC,alinor_silva_da_paixao
210,21,Chapecoense - SC,Sport - PE,Sábado,18:30,Arena Condá - Chapeco - SC,rodrigo_batista_raposo
211,22,Botafogo - RJ,Bahia - BA,Quarta,22:00,Maracanã - Rio de Janeiro - RJ,igor_junio_benevenuto
212,22,Sport - PE,Internacional - RS,Quarta,21:00,Arena Pernambuco - Sao Lourenco da Mata - PE,felipe_gomes_da_silva
213,22,Corinthians - SP,Chapecoense - SC,Quinta,19:30,Arena Corinthians - Sao Paulo - SP,felipe_duarte_varejao
214,22,Palmeiras - SP,Flamengo - RJ,Quarta,22:00,Pacaembu - Sao Paulo - SP,anderson_daronco
215,22,Coritiba - PR,São Paulo - SP,Quarta,22:00,Couto Pereira - Curitiba - PR,dewson_fernando_freitas_da_silva
216,22,Cruzeiro - MG,Atlético - PR,Quarta,19:30,Mineirão - Belo Horizonte - MG,marcelo_aparecido_r_de_souza
