,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
437,Leo,71043,293,https://s.glbimg.com/es/sde/f/2018/03/01/5f4bc547ea7572a6909432c0c03d529b_FORMATO.png,0,0.0,Leonardo da Silva Vieira,0.0,1,3.0,6,{},leo,6,0.0
438,Marco Ruben,73741,293,https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png,3,6.9,Marco Gastón Rubén Rodríguez,0.0,5,16.84,6,"{'A': 1, 'FC': 3, 'FD': 3, 'FF': 1, 'FS': 1, 'FT': 1, 'G': 1, 'I': 1, 'PE': 4, 'RB': 2}",marco-ruben,2,0.0
439,Lucho González,71479,293,https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png,2,2.45,Luis Oscar González,0.0,4,6.05,6,"{'FC': 2, 'FD': 2, 'FS': 1, 'RB': 2}",lucho-gonzalez,6,0.0
440,Jackson,70934,265,https://s.glbimg.com/es/sde/f/2019/03/29/8e6d89c654da352b89c77cb432a0df14_FORMATO.png,0,0.0,Jackson de Souza,0.0,3,6.0,6,{},jackson,6,0.0
441,Luiz Gustavo,80573,267,https://s.glbimg.com/es/sde/f/2018/09/27/b551a9e8e890e361540470d7d707da03_FORMATO.png,2,-0.75,Luiz Gustavo Tavares Conde,0.0,3,2.23,6,"{'FC': 2, 'FF': 2, 'PE': 7}",luiz-gustavo,6,0.0
442,Fábio Sanches,71604,290,https://s.glbimg.com/es/sde/f/2019/03/26/dddf90d9631bcb9fa07f3add9c0b918e_FORMATO.png,0,0.0,Fábio Pizarro Sanches,0.0,3,3.0,6,{},fabio-sanches,6,0.0
443,Sidão,70222,267,https://s.glbimg.com/es/sde/f/2019/05/18/e5e9391eacbbef7a8d684162729df4d4_FORMATO.png,4,2.55,Sidney Aparecido Ramos da Silva,-2.0,1,4.72,6,"{'DD': 8, 'GS': 6, 'PE': 6}",sidao,7,-2.18
444,Michael,93659,282,https://s.glbimg.com/es/sde/f/2018/05/07/b00362ea5028e43dae1152d78fbf5ccc_FORMATO.png,0,0.0,Michael Matias Fracaro,0.0,1,1.0,6,{},michael,6,0.0
445,Gabriel,78605,264,https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png,0,0.0,Gabriel Girotto Franco,0.0,4,7.0,6,{},gabriel,6,0.0
446,Geovane,71667,290,https://s.glbimg.com/es/sde/f/2019/03/26/c9e38ba62632fce4509a3f9e0181914f_FORMATO.png,6,2.0,Geovane Batista de Faria,5.9,4,4.83,6,"{'FC': 14, 'FF': 5, 'FS': 3, 'PE': 20, 'RB': 13}",geovane,6,1.49
447,Cleiton,93882,282,https://s.glbimg.com/es/sde/f/2018/05/07/8a0462ed1a379da917d8f4b4fa8cc04a_FORMATO.png,0,0.0,Cleiton Schwengber,0.0,1,2.0,6,{},cleiton,6,0.0
448,Gilberto,73789,290,https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png,0,0.0,Gilberto dos Santos Souza Júnior,0.0,4,3.0,6,{},gilberto,6,0.0
