,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
593,Nenê,38913,276,https://s.glbimg.com/es/sde/f/2019/04/01/4d73be1fc34c320f86e3f2b7c0c6029c_FORMATO.png,0,0.0,Anderson Luiz de Carvalho,0.0,4,8.0,3,{},nene,6,0.0
594,Everton,50301,276,https://s.glbimg.com/es/sde/f/2019/04/01/f6dbb421ca616441bbb6ab053b0bbd90_FORMATO.png,3,2.37,Everton Cardoso da Silva,1.6,4,9.07,3,"{'FC': 5, 'FD': 2, 'FS': 3, 'G': 1, 'I': 1, 'PE': 6}",everton,2,-0.55
595,Edinho,37792,354,https://s.glbimg.com/es/sde/f/2019/03/28/a73e2e4e04ac38d68b05eb5ffc8d4e8e_FORMATO.png,1,-0.8,Edimo Ferreira Campos,-0.8,4,2.63,3,"{'FS': 2, 'PE': 6}",edinho,7,-1.37
596,Jackson Porozo,105112,277,https://s.glbimg.com/es/sde/f/2019/03/01/9db848292a1e465bc770f0023d6132f4_FORMATO.jpeg,0,0.0,Jackson Gabriel Porozo Vernaza,0.0,3,1.0,3,{},jackson-porozo,6,0.0
597,Roger,38287,354,https://s.glbimg.com/es/sde/f/2019/03/28/30d5d16f9a6077ef8a3af4fd6df24dcc_FORMATO.png,1,3.0,Roger Rodrigues da Silva,0.0,5,5.64,3,{'FT': 1},roger,6,0.0
598,Pedro Ken,50877,354,https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png,1,1.0,Pedro Ken Morimoto Moreira,1.0,4,3.24,3,{'FS': 2},pedro-ken,6,-0.76
599,Tiago Alves,51495,354,https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png,3,2.97,Tiago dos Santos Alves,2.0,3,6.82,3,"{'FC': 2, 'FF': 1, 'FS': 1, 'PE': 3, 'RB': 3, 'SG': 1}",tiago-alves,7,-0.04
600,Ricardo Bueno,69141,354,https://s.glbimg.com/es/sde/f/2019/03/28/3d70fd82e49aca88abe94015a45abb9d_FORMATO.png,3,9.13,Ricardo Bueno da Silva,9.6,5,19.89,3,"{'A': 1, 'FC': 7, 'FD': 2, 'FF': 3, 'FS': 1, 'G': 3, 'I': 3, 'PE': 3, 'PP': 1, 'RB': 2}",ricardo-bueno,7,2.05
601,Brenner,99789,276,https://s.glbimg.com/es/sde/f/2019/04/01/61b86f863a9504fc1c5deb42f9b808f4_FORMATO.png,1,0.0,Brenner Souza da Silva,0.0,5,2.17,3,{},brenner,6,0.0
602,Willian Farias,63058,276,https://s.glbimg.com/es/sde/f/2019/04/01/92b08d76fca5665f16a0fee09fbc07d2_FORMATO.png,0,0.0,Willian Roberto Farias,0.0,4,3.0,3,{},willian-farias,6,0.0
