round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
14,80944,,Marlone,4,292,0,1,0,0,1,1,0,1,2,0,0,0,3,0,0,0,0,0,10.2,1.96
14,80944,,Marlone,4,292,0,1,0,0,1,1,0,1,2,0,0,0,3,0,0,0,0,0,10.2,1.96
14,36650,,Magno Alves,5,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,-0.46
14,38194,,Antônio Carlos,3,266,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,-1.4,-0.33
14,72097,,Giovanni,2,266,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1.1,-0.2
14,71892,,Wellington Silva,2,266,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,5.1,0.77
14,38431,,Diego Cavalieri,1,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-0.9
14,68887,,Gum,3,266,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2.5,0.37
14,80370,,Edson,4,266,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,0,0,3,1.9,-0.36
14,89256,,Gerson,4,266,0,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,4,3.6,0.72
14,62047,,Jean,4,266,0,0,0,0,2,1,0,0,5,0,0,0,4,0,0,0,0,0,7.2,0.96
14,38162,,Fred,5,266,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,2,-0.2,-2.24
14,74067,,Charles ,1,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01
14,86776,,Jordi,1,267,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,-1.3,0.01
14,61986,,Aislan,3,267,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,-0.4,-0.2
14,37663,,Julio Cesar,2,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.25
14,82499,,Christiano ,2,267,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3,-2.3,-0.73
14,70933,,Anderson Salles,3,267,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0,1,1.0,1.09
14,82306,,Douglas Silva,3,317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,-0.78
14,82306,,Douglas Silva,3,317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,-0.78
14,78652,,Jhon Cley,4,267,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,4,12.7,3.38
14,50454,,Serginho,4,267,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,1,0,3,1.5,-0.12
14,84679,,Emanuel Biancucchi,4,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.48
14,85211,,Thalles,5,267,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,-0.29
14,78077,,Madson,2,267,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,-1.2,-0.41
14,37644,,Rodrigo,3,267,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,4.1,0.45
14,37613,,Dagoberto,5,267,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,2,5.4,0.97
14,50533,,Guiñazu,4,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.15
14,68907,,Wellington,3,293,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.4,0.75
