,round_num,team_home,team_away,week_day,time,stadium,referee
98,10,Ponte Preta - SP,Palmeiras - SP,Domingo,16:00,Moisés Lucarelli - Campinas - SP,Wagner Reway
99,10,Chapecoense - SC,Atlético - MG,Domingo,19:00,Arena Condá - Chapeco - SC,Joao Batista de Arruda
100,11,Fluminense - RJ,Chapecoense - SC,Segunda,20:00,Giulite Coutinho - Mesquita - RJ,Eduardo Tomaz de Aquino Valadao
101,11,Flamengo - RJ,São Paulo - SP,Domingo,16:00,Luso Brasileiro - Rio de Janeiro - RJ,Leandro Pedro Vuaden
102,11,Palmeiras - SP,Grêmio - RS,Sábado,16:00,Pacaembu - Sao Paulo - SP,Wagner do Nascimento Magalhaes
103,11,Corinthians - SP,Botafogo - RJ,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,Rodolpho Toski Marques
104,11,Atlético - MG,Cruzeiro - MG,Domingo,16:00,Independência - Belo Horizonte - MG,Anderson Daronco
105,11,Coritiba - PR,Vasco da Gama - RJ,Domingo,19:00,Durival Britto - Curitiba - PR,Emerson de Almeida Ferreira
106,11,Sport - PE,Atlético - PR,Domingo,16:00,Ilha do Retiro - Recife - PE,Grazianni Maciel Rocha
107,11,Vitória - BA,Bahia - BA,Domingo,16:00,Manoel Barradas - Salvador - BA,Raphael Claus
108,11,Atlético - GO,Santos - SP,Sábado,19:00,Olímpico Pedro Ludovico - Goiania - GO,Claudio Francisco Lima E Silva
109,11,Avaí - SC,Ponte Preta - SP,Domingo,19:00,Ressacada - Florianopolis - SC,Marcelo de Lima Henrique
110,12,Botafogo - RJ,Atlético - MG,Domingo,19:00,Nilton Santos - Rio de Janeiro - RJ,Wilton Pereira Sampaio
111,12,Vasco da Gama - RJ,Flamengo - RJ,Sábado,18:00,São Januário - Rio de Janeiro - RJ,Anderson Daronco
112,12,Santos - SP,São Paulo - SP,Domingo,19:00,Vila Belmiro - Santos - SP,Sandro Meira Ricci
113,12,Corinthians - SP,Ponte Preta - SP,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Ricardo Marques Ribeiro
114,12,Cruzeiro - MG,Palmeiras - SP,Domingo,16:00,Mineirão - Belo Horizonte - MG,Pericles Bassols Pegado Cortez
115,12,Coritiba - PR,Sport - PE,Segunda,20:00,Couto Pereira - Curitiba - PR,Jailson Macedo Freitas
116,12,Grêmio - RS,Avaí - SC,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,Wagner Reway
117,12,Bahia - BA,Fluminense - RJ,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Flavio Rodrigues de Souza
118,12,Atlético - GO,Vitória - BA,Sábado,16:00,Olímpico Pedro Ludovico - Goiania - GO,Rafael Traci
119,12,Chapecoense - SC,Atlético - PR,Domingo,11:00,Arena Condá - Chapeco - SC,Caio Max Augusto Vieira
120,13,Fluminense - RJ,Botafogo - RJ,Quarta,21:00,Maracanã - Rio de Janeiro - RJ,Wagner Reway
121,13,Flamengo - RJ,Grêmio - RS,Quinta,19:30,Luso Brasileiro - Rio de Janeiro - RJ,Marcelo Aparecido R de Souza
122,13,Palmeiras - SP,Corinthians - SP,Quarta,21:45,Allianz Parque - Sao Paulo - SP,Leandro Pedro Vuaden
123,13,São Paulo - SP,Atlético - GO,Quinta,19:30,Morumbi - Sao Paulo - SP,Marielson Alves Silva
124,13,Atlético - MG,Santos - SP,Quarta,19:30,Independência - Belo Horizonte - MG,Marcelo de Lima Henrique
125,13,Atlético - PR,Cruzeiro - MG,Quarta,21:45,Arena da Baixada - Curitiba - PR,Braulio da Silva Machado
126,13,Sport - PE,Chapecoense - SC,Quinta,19:30,Arena Pernambuco - São Lourenço da Mata - PE,Dyorgines Jose Padovani de Andrade
127,13,Vitória - BA,Vasco da Gama - RJ,Quarta,21:45,Manoel Barradas - Salvador - BA,Antonio Dib Moraes de Sousa
128,13,Ponte Preta - SP,Bahia - BA,Quarta,19:30,Moisés Lucarelli - Campinas - SP,Rafael Traci
129,13,Avaí - SC,Coritiba - PR,Quinta,21:00,Ressacada - Florianopolis - SC,Raphael Claus
130,14,Botafogo - RJ,Sport - PE,Segunda,20:00,Nilton Santos - Rio de Janeiro - RJ,Ricardo Marques Ribeiro
131,14,Vasco da Gama - RJ,Santos - SP,Domingo,16:00,Nilton Santos - Rio de Janeiro - RJ,Dewson Fernando Freitas da Silva
132,14,Palmeiras - SP,Vitória - BA,Domingo,11:00,Allianz Parque - Sao Paulo - SP,Bruno Arleu de Araujo
133,14,Corinthians - SP,Atlético - PR,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Sandro Meira Ricci
134,14,Cruzeiro - MG,Flamengo - RJ,Domingo,16:00,Mineirão - Belo Horizonte - MG,Rodolpho Toski Marques
135,14,Coritiba - PR,Fluminense - RJ,Domingo,19:00,Couto Pereira - Curitiba - PR,Leandro Bizzio Marinho
136,14,Grêmio - RS,Ponte Preta - SP,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,Claudio Francisco Lima E Silva
137,14,Bahia - BA,Avaí - SC,Domingo,19:00,Pituaçu - Salvador - BA,Eduardo Tomaz de Aquino Valadao
138,14,Atlético - GO,Atlético - MG,Domingo,16:00,Olímpico Pedro Ludovico - Goiania - GO,Pablo dos Santos Alves
139,14,Chapecoense - SC,São Paulo - SP,Domingo,16:00,Arena Condá - Chapeco - SC,Wagner do Nascimento Magalhaes
140,15,Fluminense - RJ,Cruzeiro - MG,Quinta,19:30,Giulite Coutinho - Mesquita - RJ,Leandro Pedro Vuaden
141,15,Flamengo - RJ,Palmeiras - SP,Quarta,21:45,Luso Brasileiro - Rio de Janeiro - RJ,Jailson Macedo Freitas
142,15,Santos - SP,Chapecoense - SC,Quarta,19:30,Vila Belmiro - Santos - SP,Elmo Alves Resende Cunha
143,15,São Paulo - SP,Vasco da Gama - RJ,Quarta,21:45,Morumbi - Sao Paulo - SP,Wagner Reway
